Ref_ID,Cross_Ref_ID,Title,Authors,Year,Journal,Volume,Start_page,End_page,PubMed,Comment,Tissue_processing,Start_material,Prescreening,Material_sequenced,exon2,exon3,exon4,exon5,exon6,exon7,exon8,exon9,exon10,exon11,Exclude_analysis,WGS_WXS
1353,,UV mutation signature in tumor suppressor genes involved in skin carcinogenesis in xeroderma pigmentosum patients,D'Errico M;Calcagnile A;Canzona F;Didona B;Posteraro P;Cavalieri R;Corona R;Vorechovsky I;Nardo T;Stefanini M;Dogliotti E;,2000,Oncogene,19,463,467,0010656695,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1354,,P53 point mutations in initial superficial bladder cancer occur only in tumors from current or recent cigarette smokers,LaRue H;Allard P;Simoneau M;Normand C;Pfister C;Moore L;Meyer F;Tetu B;Fradet Y;,2000,Carcinogenesis,21,101,106,0010607740,,frozen,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1355,,High frequency in esophageal cancers of p53 alterations inactivating the regulation of genes involved in cell cycle and apoptosis,Robert V;Michel P;Flaman JM;Chiron A;Martin C;Charbonnier F;Paillot B;Frebourg T;,2000,Carcinogenesis,21,563,565,0010753186,,fresh,RNA,FASAY,cloned,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No
1356,,Molecular alterations of p73 in human esophageal squamous cell carcinomas: loss of heterozygosity occurs frequently; loss of imprinting and elevation of p73 expression may be related to defective p53,Cai YC;Yang GY;Nie Y;Wang LD;Zhao X;Song YL;Seril DN;Liao J;Xing EP;Yang CS;,2000,Carcinogenesis,21,683,689,0010753204,,frozen,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1357,,"Somatic mutations of the APC, KRAS, and TP53 genes in nonpolypoid colorectal adenomas",van Wyk R;Slezak P;Hayes VM;Buys CH;Kotze MJ;de Jong G;Rubio C;Dolk A;Jaramillo E;Koizumi K;Grobbelaar JJ;,2000,Genes Chromosomes Cancer,27,202,208,10612810,,frozen/fixed,DNA,DGGE,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1358,,Mutations of the p53 gene in nasal NK/T-cell lymphoma,Li T;Hongyo T;Syaifudin M;Nomura T;Dong Z;Shingu N;Kojya S;Nakatsuka S;Aozasa K;,2000,Lab Invest,80,493,499,0010780666,,fixed,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1359,,p53 splice acceptor site mutation and increased HsRAD51 protein expression in Bloom's syndrome GM1492 fibroblasts,Magnusson KP;Sandstrom M;Stahlberg M;Larsson M;Flygare J;Hellgren D;Wiman KG;Ljungquist S;,2000,Gene,246,247,254,0010767546,,fresh,RNA,none,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1360,,p53 mutations in hairy cell leukemia,Konig EA;Kusser WC;Day C;Porzsolt F;Glickman BW;Messer G;Schmid M;de Chatel R;Marcsek ZL;Demeter J;,2000,Leukemia,14,706,711,0010764158,,fresh,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1361,,Transition from squamous cell carcinoma to adenocarcinoma in adenosquamous carcinoma of the lung,Kanazawa H;Ebina M;Ino-Oka N;Shimizukawa M;Takahashi T;Fujimura S;Imai T;Nukiwa T;,2000,Am J Pathol,156,1289,1298,0010751354,,fixed,DNA,none,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1362,,"Aberrations of the K-ras, p53, and APC genes in extrahepatic bile duct cancer",Suto T;Habano W;Sugai T;Uesugi N;Funato O;Kanno S;Saito K;Nakamura S;,2000,J Surg Oncol,73,158,163,0010738270,,frozen,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1363,,"Bcl-2 and p53 protein expression, apoptosis, and p53 mutation in human epithelial ovarian cancers",Chan WY;Cheung KK;Schorge JO;Huang LW;Welch WR;Bell DA;Berkowitz RS;Mok SC;,2000,Am J Pathol,156,409,417,0010666369,,fixed,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1364,503,Mutational analysis of p73 and p53 in human cancer cell lines,Yoshikawa H;Nagashima M;Khan MA;McMenamin MG;Hagiwara K;Harris CC;,1999,Oncogene,18,3415,3421,0010362363,See ref 503; 13,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1365,,Genetic profile of gliosarcomas,Reis RM;Konu-Lebleblicioglu D;Lopes JM;Kleihues P;Ohgaki H;,2000,Am J Pathol,156,425,432,0010666371,,,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1366,,Integrated p53 histopathologic/genetic analysis of premalignant lesions of the esophagus,Safatle-Ribeiro AV;Ribeiro U;Sakai P;Clarke MR;Fylyk SN;Ishioka S;Gama-Rodrigues J;Finkelstein SD;Reynolds JC;,2000,Cancer Detect Prev,24,13,23,0010757119,,,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1367,1367,Progression in transitional cell carcinoma of the urinary bladder-- analysis of Tp53 gene mutations by temperature gradients and sequence in tumor tissues and in cellular urine sediments,Schlechte HH;Sachs MD;Lenk SV;Brenner S;Rudolph BD;Loening SA;,2000,Cancer Detect Prev,24,24,32,0010757120,,frozen,DNA,DGGE,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1368,,"p53 gene mutation, tumor p53 protein overexpression, and serum p53 autoantibody generation in patients with breast cancer",Angelopoulou K;Yu H;Bharaj B;Giai M;Diamandis EP;,2000,Clin Biochem,33,53,62,0010693987,,frozen,DNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1369,,Molecular evidence of field cancerization in a patient with 7 tumors of the aerodigestive tract,van Rees BP;Cleton-Jansen AM;Cense HA;Polak MM;Clement MJ;Drillenburg P;van Lanschot JJB;Offerhaus GJA;,2000,Hum Pathol,31,269,271,10685648,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No
1370,,Lung tumor KRAS and TP53 mutations in nonsmokers reflect exposure to PAH-rich coal combustion emissions.,DeMarini DM;Landi S;Tian D;Hanley NM;Li X;Hu F;Roop BC;Mass MJ;Keohavong P;Gao W;Olivier M;Hainaut P;Mumford JL;,2001,Cancer Res,61,6679,6681,11559534,,fixed,DNA,none,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1371,,p53 mutations in lung cancer associated with residential radon exposure,Yngveson A;Williams C;Hjerpe A;Lundeberg J;S÷derkvist P;Pershagen G;,1999,Cancer Epidemiol Biomarkers Prev,8,433,438,10350439,,fixed,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
